Electrode name	Xpos	Ypos	Zpos
FP1	-0.31	0.95	0
FP2	0.31	0.95	0
F3	-0.57	0.7	0.44
Fz	0	0.71	0.71
F4	0.57	0.7	0.44
FC5	-0.88	0.36	0.33
FC1	-0.37	0.41	0.83
FCz	0	0.38	0.92
FC2	0.37	0.41	0.83
FC6	0.88	0.36	0.33
T7	-1	0	0
C5	-0.92	0	0.38
C3	-0.71	0	0.71
C1	-0.38	0	0.92
Cz	0	0	1
C2	0.38	0	0.92
C4	0.71	0	0.71
C6	0.92	0	0.38
T8	1	0	0
CP5	-0.88	-0.36	0.33
CP1	-0.37	-0.41	0.83
CPz	0	-0.38	0.92
CP2	0.37	-0.41	0.83
CP6	0.88	-0.36	0.33
P3	-0.57	-0.7	0.44
Pz	0	-0.71	0.71
P4	0.57	-0.7	0.44
PO7	-0.59	-0.81	0
PO8	0.59	-0.81	0
Oz	0	-1	0
